experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,0.007605800000000107,0.03892672961611976,0.021675012896966193,1.7959264800053822,-0.007875143085728342,50,0.48055269709505044,,0.038943599999999856
single_agent,ContrarianAgent,0.008055900000000005,0.041267860488682695,0.03651089838041888,1.1302888266045794,-0.011188581985042134,50,0.48055269709505044,,0.03849349999999996
single_agent,DrawdownBuyerAgent,-0.12473210000000001,-0.48903559615870784,0.45537676966154994,-1.0739142370441386,-0.251637253351759,50,0.48055269709505044,,0.17128149999999998
single_agent,DynamicTeamAgent,8.249999999998536e-05,0.0004158692988631696,0.007884147191101292,0.0527475310624026,-0.0020819841763215496,50,0.48055269709505044,,0.04646689999999998
single_agent,FreeRiderAgent,0.00032330000000002634,0.001630496475315324,0.014662970055901,0.11119824081337076,-0.007144215307458235,50,0.48055269709505044,,0.04622609999999994
single_agent,LowVolatilityAgent,-0.0030546000000000184,-0.015300484795371827,0.011937884302817087,-1.2816747429660746,-0.006531738913801766,50,0.48055269709505044,,0.04960399999999998
single_agent,MeanReversionAgent,-0.0732933,-0.3186202747297926,0.40306406929164323,-0.7904953554648156,-0.21103337373926578,50,0.48055269709505044,,0.11984269999999997
single_agent,MomentumAgent,-0.08830280000000001,-0.37245173987748526,0.25629722288688284,-1.4532024018140353,-0.16528548349829897,50,0.48055269709505044,,0.13485219999999998
single_agent,PersuaderAgent,0.04654939999999996,0.25773473361719135,0.0610888649092937,4.219013301358315,-0.011102493504479005,50,0.48055269709505044,,0.0
single_agent,RandomAgent,-0.0023735000000000284,-0.011905224217119925,0.1442935987145785,-0.08250694641464436,-0.07439088541874417,50,0.48055269709505044,,0.04892289999999999
single_agent,SocialGraphAgent,-0.0008253999999999762,-0.004153085770932097,0.01748962603651132,-0.237459952674924,-0.00807586943238392,50,0.48055269709505044,,0.04737479999999994
single_agent,TruthfulReporterAgent,0.0003670000000000062,0.00185105175182243,0.007417290234289973,0.24955902942358352,-0.002396592579261503,50,0.48055269709505044,,0.04618239999999996
agent_portfolio,correlation_aware_agent_portfolio,-0.03151944179618016,-0.15186004840502143,0.10982621296334562,-1.3827304457425347,-0.06807656917645521,49,0.48055269709505044,0.09011401631029173,0.07806884179618012
agent_portfolio,drawdown_constrained_agent_portfolio,-0.0005546720680850159,-0.002849323578685725,0.06477222000016346,-0.04398990151454643,-0.029746241992977374,49,0.48055269709505044,0.10568217233754004,0.04710407206808498
agent_portfolio,equal_agent_portfolio,-0.017674748443051835,-0.08763176588689903,0.10869374324294984,-0.8062264052405156,-0.06352836265146455,49,0.48055269709505044,0.08333333333333334,0.0642241484430518
agent_portfolio,hedge_agent_portfolio,-0.0005546720680850159,-0.002849323578685725,0.06477222000016346,-0.04398990151454643,-0.029746241992977374,49,0.48055269709505044,0.10568217233754003,0.04710407206808498
